similarity_mean,similarity_max,similarity_min,logical_mean,logical_max,logical_min,specificity,label
0.8880524,0.93262964,0.8464541,0.5,0.7,0.4,0.6999999999999998,0
0.95512944,0.95512944,0.95512944,0.9,0.9,0.9,0.6,0
0.8690525,0.9129642,0.80028224,0.4,0.8,0.0,0.37500000000000006,0
0.9044346,0.9044346,0.9044346,1.0,1.0,1.0,0.7,0
0.88833827,0.9470676,0.84212995,0.7333333333333333,0.9,0.6,0.5333333333333333,0
0.9215657,0.94944257,0.88561606,0.5333333333333333,0.9,0.3,0.4666666666666666,0
0.9081935,0.93623036,0.89187044,0.6833333333333335,0.9,0.5,0.44999999999999996,0
0.9143064,0.9415198,0.88709307,0.9,1.0,0.8,0.6,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8679846,0.8866384,0.8454436,0.5666666666666668,0.9,0.3,0.6,0
0.89180434,0.90219766,0.8814111,0.8,1.0,0.6,0.6499999999999999,0
0.898023,0.92983305,0.8433016,0.775,0.9,0.6,0.325,0
0.8873133,0.9186216,0.84168285,0.6666666666666666,1.0,0.3,0.3666666666666667,0
0.90709406,0.90709406,0.90709406,0.9,0.9,0.9,0.7,0
0.8853861,0.9178739,0.85383874,0.775,0.9,0.6,0.475,0
0.93872166,0.963909,0.91089,0.7666666666666666,0.9,0.6,0.4000000000000001,0
0.8874855,0.8874855,0.8874855,0.9,0.9,0.9,0.9,0
0.95085984,0.95085984,0.95085984,1.0,1.0,1.0,0.6,0
0.8998137,0.94058686,0.8724164,0.5333333333333333,1.0,0.3,0.5333333333333333,0
0.93323797,0.9439146,0.9165818,0.8166666666666668,1.0,0.7,0.5833333333333333,0
0.9265313,0.9277425,0.9252109,0.6333333333333334,0.8,0.4,0.4,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.89283794,0.89283794,0.89283794,0.7,0.7,0.7,0.5,0
0.91509515,0.91509515,0.91509515,0.8,0.8,0.8,0.6,0
0.85020673,0.9289326,0.81663805,0.45,0.9,0.3,0.3666666666666667,0
0.89372766,0.92879766,0.8586576,0.65,0.9,0.4,0.55,0
0.86838293,0.9020676,0.8346938,0.7,0.8,0.6,0.5,0
0.90227634,0.90227634,0.90227634,1.0,1.0,1.0,0.5,0
0.9102075,0.9102075,0.9102075,0.9,0.9,0.9,0.6,0
0.87786186,0.89543736,0.8602864,0.6,0.6,0.6,0.4,0
0.88674283,0.89332116,0.8787429,0.7999999999999999,0.9,0.7,0.675,0
